,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2017-03-02,1236.75,-0.9999,0.128,0.789,0.083,1237.9,1254.7,1227.05,4129033.0
2017-03-03,1258.55,-0.9999,0.142,0.779,0.079,1241.55,1287.8,1241.55,19270851.0
2017-03-06,1305.35,-0.9993,0.114,0.796,0.09,1269.0,1312.0,1265.25,15252154.0
2017-03-07,1304.95,-0.9997,0.112,0.813,0.075,1318.85,1327.0,1296.15,9616850.0
2017-03-08,1291.2,-0.9998,0.122,0.794,0.084,1307.7,1307.7,1286.1,9906103.0
2017-03-09,1286.75,-0.9997,0.117,0.799,0.084,1290.0,1298.0,1281.5,7107670.0
2017-03-10,1281.65,-0.9995,0.117,0.79,0.093,1290.25,1296.0,1261.2,5665568.0
2017-03-14,1289.5,-0.9957,0.114,0.781,0.106,1318.75,1319.0,1285.25,6346620.0
2017-03-15,1304.95,-0.9997,0.129,0.768,0.103,1291.05,1316.3,1290.4,5510658.0
2017-03-16,1297.65,-0.9998,0.131,0.779,0.09,1310.0,1310.4,1293.6,3639964.0
2017-03-17,1300.7,-0.9999,0.134,0.783,0.083,1308.0,1319.95,1298.05,5195076.0
2017-03-20,1280.8,-0.9987,0.118,0.778,0.104,1306.0,1306.25,1278.35,2941714.0
2017-03-21,1263.8,-0.9998,0.12,0.8,0.08,1282.2,1283.9,1259.3,5165107.0
2017-03-22,1259.7,-0.9999,0.147,0.775,0.078,1252.0,1265.9,1246.55,4638338.0
2017-03-23,1273.3,-0.9999,0.135,0.791,0.074,1263.15,1277.55,1258.0,2699090.0
2017-03-24,1286.75,-0.9997,0.13,0.772,0.098,1274.1,1292.0,1268.45,3721911.0
2017-03-27,1251.1,-0.9999,0.128,0.795,0.077,1271.1,1278.75,1247.2,7418122.0
2017-03-28,1245.75,-0.999,0.092,0.842,0.066,1258.0,1264.0,1242.1,4961934.0
2017-03-29,1256.65,-0.9998,0.123,0.792,0.085,1251.7,1260.0,1233.35,4325787.0
2017-03-30,1270.65,-1.0,0.161,0.761,0.078,1255.0,1274.75,1253.0,6368859.0
2017-03-31,1320.9,-0.9996,0.109,0.812,0.078,1266.0,1337.65,1266.0,10375519.0
2017-04-03,1374.65,-0.9998,0.131,0.785,0.084,1342.0,1380.5,1337.05,10260327.0
2017-04-05,1415.0,-0.9999,0.142,0.773,0.085,1395.2,1418.0,1380.1,9217360.0
2017-04-06,1438.5,-0.9998,0.12,0.802,0.078,1409.0,1448.9,1402.2,11571075.0
